Model,Scaler,TP,FP,FN,TN,Macro Precision,Macro Recall,Macro F1,Macro Accuracy,Macro Specificity,Micro Precision,Micro Recall,Micro F1,Micro Accuracy,Micro Specificity,Weights,Samples,Weighted Precision,Weighted Recall,Weighted F1,Weighted Accuracy,Weighted Specificity
AB,MaxAbs,[ 98. 105. 150. 140.],[72. 72. 74. 86.],[101.  93.  50.  60.],[526. 527. 523. 511.],0.6147007027273556,0.6181913354650865,0.6164410776591234,0.8092848180680051,0.8728479070373846,0.6185696361353892,0.6185696361353892,0.6185696361353892,0.8092848180675988,0.8728565453783779,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.6148025732944584,0.6185696361353895,0.6166803518844569,0.8093588094629633,0.8728219920144045
AB,QT,[ 89. 109. 151. 141.],[50. 90. 78. 89.],[110.  89.  49.  59.],[548. 509. 519. 508.],0.6151146469500253,0.6144353078522787,0.6147747897302046,0.8074027603515684,0.8716013873009051,0.6148055207025196,0.6148055207025196,0.6148055207025196,0.8074027603511631,0.8716018402340873,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.6152521360141803,0.61480552070252,0.6150287472787213,0.8074932817390174,0.8716000285013586
KNN,Normalizer,[ 88.  86. 139.  74.],[121.  97. 105.  87.],[111. 112.  61. 126.],[477. 502. 492. 510.],0.48007436177759827,0.4853886224049689,0.48271686627627136,0.7427854454205771,0.8285285654349795,0.48557089084066696,0.48557089084066696,0.48557089084066696,0.7427854454202043,0.8285236302801076,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.48017383447944423,0.4855708908406671,0.4828572819577735,0.7428405453955461,0.8285433708995953
KNN,Standard,[120. 118. 171. 131.],[62. 63. 84. 48.],[79. 80. 29. 69.],[536. 536. 513. 549.],0.6784265429276235,0.6772436678339424,0.6778345893284732,0.8387703889588458,0.892510062610452,0.6775407779170112,0.6775407779170112,0.6775407779170112,0.8387703889584246,0.8925135926389318,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.6785169714924012,0.6775407779170115,0.6780285233354904,0.8388357217863088,0.8924994725250127
KNN,MinMax,[124. 123. 162. 137.],[72. 55. 68. 56.],[75. 75. 38. 63.],[526. 544. 529. 541.],0.6844641707128124,0.6848319247752068,0.6846479983598586,0.8425345043917191,0.8950184425194619,0.6850690087827501,0.6850690087827501,0.6850690087827501,0.8425345043912961,0.8950230029275131,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.6845127491055407,0.6850690087827506,0.68479076598089,0.8425825200841921,0.8950047612953087
KNN,Robust,[120. 122. 170. 131.],[60. 64. 74. 56.],[79. 76. 30. 69.],[538. 535. 523. 541.],0.6799591789985651,0.6810441728844436,0.6805012434621387,0.8406524466752824,0.8937663416793621,0.6813048933498806,0.6813048933498806,0.6813048933498806,0.8406524466748603,0.8937682977832224,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.6800361964557047,0.6813048933498811,0.6806699537240569,0.8407122695052487,0.8937604733677809
KNN,MaxAbs,[121. 116. 172. 135.],[51. 57. 87. 58.],[78. 82. 28. 65.],[547. 542. 510. 539.],0.6843957831709417,0.6822246967157202,0.6833085153912459,0.841279799247428,0.8941690123433614,0.6825595984941705,0.6825595984941705,0.6825595984941705,0.8412797992470056,0.8941865328313193,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.6844066470542451,0.682559598494171,0.6834818749056545,0.8413230920849036,0.8941164508794875
KNN,QT,[119. 117. 171. 139.],[82. 53. 60. 56.],[80. 81. 29. 61.],[516. 546. 537. 541.],0.6833388370480464,0.6847247601642736,0.684031096598268,0.8425345043917191,0.8950226488057683,0.6850690087827501,0.6850690087827501,0.6850690087827501,0.8425345043912961,0.8950230029275131,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.6834411031985037,0.6850690087827507,0.6842540877564256,0.8426187286391715,0.895021586440534
DT,Normalizer,[104. 102. 134. 112.],[104.  97.  65.  79.],[95. 96. 66. 88.],[494. 502. 532. 518.],0.5680792706989757,0.56694114511947,0.5675096372896037,0.7835633626100378,0.8557360913589045,0.567126725219506,0.567126725219506,0.567126725219506,0.7835633626096443,0.8557089084064053,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.5683040036775908,0.5671267252195062,0.5677147541142795,0.7836696268474777,0.8558176402164014
DT,Standard,[121. 102. 146. 114.],[105.  67.  60.  82.],[78. 96. 54. 86.],[493. 532. 537. 515.],0.6073297607712346,0.6057979290390291,0.6065628777734459,0.8030112923465497,0.8686764202097772,0.6060225846924908,0.6060225846924908,0.6060225846924908,0.8030112923461464,0.868674194897409,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.6074294978609579,0.6060225846924912,0.6067252256678133,0.8030711151765159,0.8686830961468817
DT,MinMax,[100.  99. 133. 116.],[108.  89.  55.  97.],[99. 99. 67. 84.],[490. 510. 542. 500.],0.564853180731896,0.5618781407034558,0.5633617330452121,0.7810539523214555,0.8540526649677416,0.5621079046423467,0.5621079046423467,0.5621079046423467,0.7810539523210632,0.854035968214018,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.5650546849001079,0.562107904642347,0.5635774428363034,0.7811476222789026,0.854102755228913
DT,Robust,[115. 114. 139. 120.],[72. 92. 65. 80.],[84. 84. 61. 80.],[526. 507. 532. 517.],0.612435967325917,0.6121617557483268,0.6122988308364322,0.8061480552072774,0.8707820686635461,0.6122961104139399,0.6122961104139399,0.6122961104139399,0.8061480552068726,0.8707653701378935,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.6125809341056422,0.61229611041394,0.612438489144412,0.8062181108897378,0.8708321642405039
DT,MaxAbs,[117. 106. 135. 117.],[92. 73. 62. 95.],[82. 92. 65. 83.],[506. 526. 535. 502.],0.597288340914901,0.5958233084614034,0.5965549252249331,0.7979924717693853,0.8653256221605936,0.5959849435381721,0.5959849435381721,0.5959849435381721,0.7979924717689846,0.8653283145126339,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.5973481889304659,0.5959849435381724,0.5966657875590486,0.7980255317543666,0.8653175451044726
DT,QT,[111. 101. 135. 122.],[93. 81. 68. 86.],[88. 97. 65. 78.],[505. 518. 529. 511.],0.5876564485209657,0.5882224887060687,0.5879393323743684,0.794228356336512,0.8628249452033546,0.5884567126724332,0.5884567126724332,0.5884567126724332,0.7942283563361132,0.8628189042240525,[0.24968632 0.24843162 0.25094103 0.25094103],[199 198 200 200],0.5877931631867299,0.5884567126724334,0.5881247507678531,0.794299199161472,0.8628430681412611
